Id,SalePrice
2658,172787.45482194237
2718,221156.19809380698
2414,196652.5723300482
1989,118184.0220410463
625,186948.20042563963
333,88855.59958463477
1327,97078.81927800423
858,146259.5290079401
95,212433.31766650197
1568,177528.89029638178
2482,178953.88422852464
1364,145312.437512903
2584,182517.39960708236
818,306510.7078973566
2673,165050.2392766237
2089,97412.9586738951
1297,163888.84080817876
790,123306.07711099007
2616,202800.35541353188
720,205365.84635828226
222,125431.92729248409
557,119365.99827945163
1148,214347.7436314586
2766,150868.15451621928
534,203630.86489178205
1452,109211.19370106037
630,114017.83732506877
2648,121008.77793025109
125,152536.09821681737
1904,19968.685445706826
1670,88185.20502250071
756,103814.94295542501
717,268916.28070201166
1032,150300.5395632143
852,226195.42437610833
1731,192999.1339800622
2639,125909.15361552697
2071,69561.09203775541
1267,91359.61273219367
1851,213108.516441943
567,161762.0126463771
2439,224684.98387887352
1898,149914.38560803107
647,134376.86421906296
2256,223170.58238599927
979,88056.43180786516
1444,220012.17444670305
2485,111136.02544370457
157,111205.27192674694
88,122301.17731954157
2003,119194.97619064024
186,213318.14966753277
1425,272075.9509389199
2695,123065.42097642005
738,95646.55920769193
395,156080.89869811002
1353,191796.34729460406
1878,135907.96458616818
390,192060.603115789
1456,239613.34942614008
1103,303265.2173586546
1387,138497.96105609578
2070,132281.17246055172
1199,202360.63570556208
2479,182060.596170014
501,306651.5967355884
2362,75029.14048981608
1718,190281.46846183727
2188,27933.75579711597
1483,149908.14815404126
2557,73801.51550172793
437,314440.0815080012
2224,200791.9644768762
1628,181307.01902083575
397,125107.29797784204
587,215553.93408753164
971,133455.05716251023
2611,154329.04092582548
1887,74508.71446124418
2399,306054.5725387061
2148,223553.47370049974
304,119236.53232827445
1997,116473.63083018479
2817,107534.94069913717
1431,182393.54833094205
427,310064.44102792337
263,123427.18277543061
598,179327.61661632534
2895,259172.43447851203
687,168349.8909665253
1822,118406.92665475595
2191,85464.15754120331
179,138598.75945083157
1009,219553.32547037012
2010,116150.52653100889
1991,151941.4727742375
1411,161816.66879223112
1721,253259.09483864054
1144,190755.3632019997
593,229956.1762010391
575,257712.46855153167
1249,190884.6065869002
1604,115951.65365410759
1064,389363.787871807
1923,158906.02823772584
1988,82182.31500034523
2325,174734.8798942942
114,210176.1074070296
2700,233769.3950286893
217,159968.31520051847
343,193482.54218555137
386,249591.6136652805
2005,77157.46963198623
2908,129710.01530404971
1814,225108.03707233653
2446,423958.85230577365
208,132549.25622827816
1679,135559.92706673918
822,301846.3170863851
6,189874.6921096088
1781,343525.11297060223
2397,270302.408691766
2340,287341.76484077773
1618,177840.27890542254
2843,139995.96133756416
1061,320950.7722285419
2786,109211.19370106037
1935,116746.29373478016
1341,101945.29886659386
521,284791.33669567097
2136,137308.01646415528
996,192246.66404575645
227,145421.31186017836
135,149333.60351978126
1167,180574.5026158652
294,230825.05769156606
1776,216968.24870799168
540,193626.3267550941
1717,190281.46846183727
